Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,ASAS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D2,02/02/18,Nurnberg,Erzgebirge Aue,4,1,H,1,0,H,11,6,7,1,8,10,4,4,0,0,0,0
D2,03/02/18,Heidenheim,St Pauli,3,1,H,2,1,H,11,19,6,4,10,12,3,4,0,2,0,0
D2,03/02/18,Holstein Kiel,Regensburg,1,1,D,1,1,D,7,21,3,7,15,19,3,5,4,2,0,0
D2,03/02/18,Ingolstadt,Greuther Furth,3,0,H,1,0,H,22,14,10,1,13,15,4,5,1,0,0,0
D2,04/02/18,Braunschweig,Kaiserslautern,1,2,A,0,2,A,26,10,7,3,10,8,3,6,2,2,0,0
D2,04/02/18,Darmstadt,Duisburg,1,2,A,1,1,D,11,11,5,5,15,13,5,6,3,1,0,0
D2,04/02/18,Dresden,Bochum,2,0,H,1,0,H,17,17,5,1,9,16,4,2,3,1,0,0
D2,05/02/18,Bielefeld,Union Berlin,1,1,D,0,1,A,18,11,3,5,13,12,6,1,1,0,0,0
D2,09/02/18,Bochum,Darmstadt,2,1,H,0,0,D,14,17,4,2,14,10,10,5,2,1,0,0
D2,09/02/18,Kaiserslautern,Holstein Kiel,3,1,H,2,1,H,14,17,6,4,12,18,3,3,1,3,0,0
D2,10/02/18,Duisburg,Bielefeld,2,2,D,0,1,A,11,11,6,5,10,18,6,3,2,2,0,0
D2,10/02/18,Regensburg,Heidenheim,2,0,H,1,0,H,31,8,10,3,12,17,8,2,1,3,0,1
D2,10/02/18,Union Berlin,Fortuna Dusseldorf,3,1,H,0,1,A,26,4,7,1,13,20,9,2,3,3,0,0
D2,11/02/18,Erzgebirge Aue,Ingolstadt,0,0,D,0,0,D,5,18,3,5,17,11,2,9,1,2,0,0
D2,11/02/18,Greuther Furth,Dresden,1,0,H,1,0,H,14,20,7,5,21,17,8,9,1,3,0,0
D2,11/02/18,Sandhausen,Braunschweig,0,0,D,0,0,D,9,10,1,2,11,18,2,6,1,4,0,0
D2,12/02/18,St Pauli,Nurnberg,0,0,D,0,0,D,16,10,6,4,7,13,5,7,1,3,0,0
D2,16/02/18,Heidenheim,Bochum,1,0,H,1,0,H,10,17,2,7,22,10,2,9,2,3,0,0
D2,16/02/18,Kaiserslautern,Sandhausen,0,1,A,0,0,D,11,13,1,5,9,14,7,6,0,1,0,0
D2,17/02/18,Bielefeld,Darmstadt,2,0,H,1,0,H,14,13,4,6,9,11,4,7,3,3,0,0
D2,17/02/18,Fortuna Dusseldorf,Greuther Furth,1,1,D,0,1,A,12,14,7,4,14,28,11,2,2,4,0,0
D2,17/02/18,Holstein Kiel,Erzgebirge Aue,2,2,D,2,2,D,13,13,6,7,9,12,7,7,1,2,0,0
D2,17/02/18,Ingolstadt,St Pauli,0,1,A,0,1,A,18,5,3,3,19,16,11,2,2,2,0,0
D2,18/02/18,Braunschweig,Union Berlin,1,0,H,1,0,H,13,13,8,6,8,13,8,5,0,2,0,0
D2,18/02/18,Dresden,Regensburg,1,0,H,0,0,D,9,13,1,5,16,21,2,6,1,4,0,0
D2,18/02/18,Nurnberg,Duisburg,3,1,H,2,1,H,10,13,5,3,10,10,6,5,1,1,0,0
D2,21/02/18,Darmstadt,Kaiserslautern,1,2,A,0,1,A,18,12,7,3,14,8,8,3,1,1,0,0
D2,23/02/18,Bielefeld,Dresden,2,3,A,1,0,H,17,13,5,6,17,12,4,5,4,2,0,0
D2,23/02/18,Regensburg,Fortuna Dusseldorf,4,3,H,2,3,A,15,13,7,5,15,15,7,2,0,2,0,0
D2,24/02/18,Duisburg,Ingolstadt,2,1,H,1,1,D,13,9,4,2,13,23,2,3,3,5,0,1
D2,24/02/18,Erzgebirge Aue,Kaiserslautern,2,1,H,1,0,H,13,8,7,2,12,10,4,7,2,1,0,0
D2,24/02/18,Greuther Furth,Braunschweig,2,1,H,1,1,D,18,9,4,5,13,17,6,3,2,3,0,0
D2,24/02/18,Union Berlin,Sandhausen,2,1,H,2,0,H,9,7,2,4,14,20,3,6,1,2,0,0
D2,25/02/18,Bochum,Nurnberg,0,0,D,0,0,D,9,6,1,1,14,14,8,3,1,2,0,0
D2,25/02/18,Darmstadt,Heidenheim,1,1,D,0,1,A,10,16,2,6,16,17,4,6,2,4,1,0
