Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,ASAS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H
D1,2012-02-17,Hoffenheim,Mainz,1,1,D,1,1,D,16,7,2,3,20,15,6,4,1,1,0,0,2.4
D1,2012-02-18,Freiburg,Bayern Munich,0,0,D,0,0,D,13,9,2,2,21,19,6,10,2,1,0,0,9.0
D1,2012-02-18,Hamburg,Werder Bremen,1,3,A,0,2,A,18,13,6,9,15,25,3,2,1,3,0,0,2.0
D1,2012-02-18,Hertha,Dortmund,0,1,A,0,0,D,6,14,2,6,16,19,2,5,0,0,0,0,7.0
D1,2012-02-18,Kaiserslautern,M'gladbach,1,2,A,0,2,A,14,8,6,2,18,18,2,0,3,1,0,0,3.2
D1,2012-02-18,Leverkusen,Augsburg,4,1,H,1,0,H,12,6,9,3,9,21,5,6,0,4,0,0,1.5
D1,2012-02-18,Nurnberg,FC Koln,2,1,H,1,0,H,19,7,3,5,16,18,6,3,3,3,0,0,1.73
D1,2012-02-19,Hannover,Stuttgart,4,2,H,2,0,H,21,11,6,6,11,18,10,5,0,0,0,0,2.5
D1,2012-02-19,Schalke 04,Wolfsburg,4,0,H,2,0,H,13,13,9,6,12,23,6,4,1,1,0,0,1.67
D1,2012-02-24,M'gladbach,Hamburg,1,1,D,1,0,H,9,11,5,5,15,18,3,6,1,3,0,0,1.73
D1,2012-02-25,FC Koln,Leverkusen,0,2,A,0,1,A,11,22,4,7,14,15,2,7,1,0,0,0,3.75
D1,2012-02-25,Wolfsburg,Hoffenheim,1,2,A,0,1,A,13,14,5,7,24,19,6,1,2,1,0,0,2.2
D1,2012-02-25,Werder Bremen,Nurnberg,0,1,A,0,0,D,20,11,5,5,15,20,3,6,3,3,0,0,1.8
D1,2012-02-25,Stuttgart,Freiburg,4,1,H,2,1,H,17,10,8,3,11,13,5,7,0,0,0,0,1.67
D1,2012-02-25,Mainz,Kaiserslautern,4,0,H,3,0,H,11,6,8,2,11,17,6,4,1,3,0,0,1.73
D1,2012-02-25,Augsburg,Hertha,3,0,H,0,0,D,11,7,5,1,21,23,4,8,0,4,0,0,2.6
D1,2012-02-26,Bayern Munich,Schalke 04,2,0,H,1,0,H,23,12,7,4,9,14,10,3,1,2,0,0,1.4
D1,2012-02-26,Dortmund,Hannover,3,1,H,1,0,H,21,7,6,2,13,14,4,2,3,4,0,0,1.25
D1,2012-03-02,Nurnberg,Dortmund,0,2,A,0,0,D,12,11,3,6,19,19,7,1,1,0,0,0,6.0
D1,2012-03-03,Freiburg,Schalke 04,2,1,H,1,0,H,11,15,2,4,16,20,6,4,2,1,0,1,3.8
D1,2012-03-03,Dortmund,Mainz,2,1,H,1,0,H,18,5,5,3,11,15,5,2,0,0,0,0,1.3
D1,2012-03-03,Leverkusen,Bayern Munich,2,0,H,0,0,D,15,15,8,5,17,15,3,8,2,3,0,0,4.5
D1,2012-03-03,Kaiserslautern,Wolfsburg,0,0,D,0,0,D,12,15,5,6,12,22,6,9,2,1,0,0,2.3
D1,2012-03-03,Hertha,Werder Bremen,1,0,H,0,0,D,5,17,2,3,13,19,0,7,2,1,0,0,2.5
